state,state_fips,year,total_18_64,uninsured_18_64,uninsured_rate
Louisiana,22,2021,2631601,294920,11.206866086462195
Maine,23,2021,803834,66129,8.226698547212484
Maryland,24,2021,3638099,298684,8.209892034273944
Massachusetts,25,2021,4265516,148983,3.492731008393826
Michigan,26,2021,5885859,419561,7.128288326308869
Minnesota,27,2021,3336386,204775,6.137629159215989
Mississippi,28,2021,1664011,295358,17.749762471522125
Missouri,29,2021,3548922,481072,13.555440215366806
Montana,30,2021,626780,70655,11.272695363604454
Nebraska,31,2021,1113311,111316,9.998643685367341
Nevada,32,2021,1858348,291972,15.711373757767651
New Hampshire,33,2021,838470,58512,6.978424988371677
New Jersey,34,2021,5507827,565885,10.274197065376237
New Mexico,35,2021,1186060,170754,14.396742154697066
New York,36,2021,11856473,875494,7.384101494601303
North Carolina,37,2021,6131437,931374,15.190142212991834
North Dakota,38,2021,443111,44536,10.050754777019753
Ohio,39,2021,6813230,608499,8.93113838810667
Oklahoma,40,2021,2263511,457813,20.22579081789309
Oregon,41,2021,2514819,219117,8.71303262779548
Pennsylvania,42,2021,7530526,562906,7.474989130905331
Rhode Island,44,2021,660406,39663,6.005850946236103
South Carolina,45,2021,2958492,443511,14.991117096142222
South Dakota,46,2021,493889,65537,13.269580816742224
Tennessee,47,2021,4086193,598786,14.653884434729344
Texas,48,2021,17373420,4223347,24.3092436607185
Utah,49,2021,1928371,217360,11.271689939332214
Vermont,50,2021,383070,20788,5.42668441799149
Virginia,51,2021,5027688,473741,9.422641182189508
Washington,53,2021,4620069,423526,9.167092526107295
West Virginia,54,2021,1013740,93046,9.17848758064198
Wisconsin,55,2021,3444474,253939,7.372359321045825
Wyoming,56,2021,328305,53216,16.209317555322034
Alaska,02,2021,418339,63344,15.141786924001826
Alabama,01,2022,2916064,396513,13.59754106905747
Alaska,02,2022,418442,60202,14.387179107259787
Arizona,04,2022,4206665,594797,14.139395459348439
Arkansas,05,2022,1728354,205888,11.91237443255259
California,06,2022,23477300,2136668,9.100995429627769
Colorado,08,2022,3560553,340041,9.550229978320782
Connecticut,09,2022,2156769,155021,7.187649674119018
Delaware,10,2022,574650,47778,8.31427825632994
District of Columbia,11,2022,441913,17024,3.8523419768144405
Florida,12,2022,12672391,2059102,16.248725280020164
Georgia,13,2022,6445824,1071222,16.61885276420827
Hawaii,15,2022,782944,37775,4.824738423182246
Idaho,16,2022,1096006,126097,11.505137745596283
Illinois,17,2022,7433633,697601,9.384388494831532
Indiana,18,2022,3954766,372459,9.417978206548757
Iowa,19,2022,1828074,111544,6.101722359160515
Kansas,20,2022,1657703,206935,12.483237347100175
Kentucky,21,2022,2599012,198751,7.647175157329015
Louisiana,22,2022,2615711,268761,10.274873638563282
Maine,23,2022,805195,77359,9.607486385285553
Maryland,24,2022,3627388,298648,8.233141864063066
Massachusetts,25,2022,4255270,138514,3.2551165965966904
Michigan,26,2022,5858108,385023,6.572480398108057
Minnesota,27,2022,3334664,205233,6.154533110382335
Mississippi,28,2022,1653780,270661,16.366203485348716
Missouri,29,2022,3552805,431872,12.155803653732756
Montana,30,2022,635153,73422,11.559734426193375
Nebraska,31,2022,1110453,103077,9.282427982093793
Nevada,32,2022,1880248,287817,15.307395620152237
New Hampshire,33,2022,837307,57512,6.8686873512343745
New Jersey,34,2022,5484095,527161,9.612543181691784
New Mexico,35,2022,1191031,148517,12.469616659851843
New York,36,2022,11767983,803657,6.829182197153072
North Carolina,37,2022,6217037,842882,13.557615951135565
North Dakota,38,2022,448374,37301,8.319171049168775
Ohio,39,2022,6784974,549335,8.096346426677538
Oklahoma,40,2022,2277825,381898,16.76590607267898
Oregon,41,2022,2507769,221534,8.83390774828144
Pennsylvania,42,2022,7528115,524364,6.9654090034490705
Rhode Island,44,2022,657030,39799,6.0574098595193515
South Carolina,45,2022,3005248,408521,13.593586951892156
South Dakota,46,2022,498967,56849,11.393338637625334
Tennessee,47,2022,4140306,553784,13.375436501553267
Texas,48,2022,17731264,3975412,22.420353111881926
Utah,49,2022,1968052,208130,10.5754319499688
Vermont,50,2022,379740,21371,5.627797967030073
Virginia,51,2022,5038561,449150,8.91425150950837
Washington,53,2022,4648020,410419,8.829974914049425
West Virginia,54,2022,999164,91224,9.13003270734334
Wisconsin,55,2022,3429007,240398,7.010717680074727
Wyoming,56,2022,326649,54158,16.579876258613986
Alabama,01,2023,2915850,376536,12.913421472297959
Alaska,02,2023,417880,58937,14.103809706135733
Arizona,04,2023,4218627,569929,13.50982203451502
Arkansas,05,2023,1736591,215913,12.433152077835254
California,06,2023,23332291,2106484,9.028191873656985
Colorado,08,2023,3568881,328470,9.203725201260564
Connecticut,09,2023,2127972,173333,8.145454921399342
Delaware,10,2023,575578,53382,9.274503195049151
District of Columbia,11,2023,448540,15828,3.5287822713693315
Florida,12,2023,12813163,1984235,15.48591085589093
Georgia,13,2023,6483978,1044157,16.10364809997813
Hawaii,15,2023,770029,33692,4.375419627053008
Idaho,16,2023,1106959,137221,12.396213409891423
Illinois,17,2023,7371115,651877,8.843668834362237
Indiana,18,2023,3948367,360145,9.121365871004393
Iowa,19,2023,1826280,130497,7.145508903344504
Kansas,20,2023,1650054,195711,11.860884552869178
Kentucky,21,2023,2597082,201049,7.741342013844769
Louisiana,22,2023,2577730,256899,9.966094199159725
Maine,23,2023,807958,69170,8.561088571435644
Maryland,24,2023,3607951,306026,8.481988807497663
Massachusetts,25,2023,4238979,149527,3.527429600382545
Michigan,26,2023,5799261,373692,6.443786544526967
Minnesota,27,2023,3318370,188648,5.684959784472497
Mississippi,28,2023,1655996,251033,15.159034200565703
Missouri,29,2023,3546993,376269,10.608112279894549
Montana,30,2023,641183,76423,11.919062108633574
Nebraska,31,2023,1118183,98828,8.838267081506336
Nevada,32,2023,1881609,275306,14.631413859096124
New Hampshire,33,2023,835901,55945,6.6927782117738825
New Jersey,34,2023,5467356,554972,10.150646857457241
New Mexico,35,2023,1181176,156534,13.252385757922614
New York,36,2023,11630235,791987,6.809724824992788
North Carolina,37,2023,6285478,837681,13.327244165042021
North Dakota,38,2023,446162,27018,6.05564794850301
Ohio,39,2023,6743408,566165,8.395828933975224
Oklahoma,40,2023,2283480,368745,16.148378790267486
Oregon,41,2023,2501416,200574,8.018418367836459
Pennsylvania,42,2023,7455902,529825,7.106115396903018
Rhode Island,44,2023,654150,39652,6.061606665137965
South Carolina,45,2023,3044285,400471,13.154845883351921
South Dakota,46,2023,505231,57219,11.325314559082875
Tennessee,47,2023,4166839,554244,13.301305857989714
Texas,48,2023,17966785,3894690,21.677167061330117
Utah,49,2023,1991520,202124,10.14923274684663
Vermont,50,2023,377635,18817,4.982853813867889
Virginia,51,2023,5025873,439127,8.737327823444803
Washington,53,2023,4637738,413785,8.922129710647733
West Virginia,54,2023,989014,90391,9.13950661972429
Wisconsin,55,2023,3418822,225192,6.58683020057786
Wyoming,56,2023,327457,51087,15.60113236241705
